year day hour kp_10
2000   1  0 53
2000   1  1 53
2000   1  2 53
2000   1  3 47
2000   1  4 47
2000   1  5 47
2000   1  6 40
2000   1  7 40
2000   1  8 40
2000   1  9 33
2000   1 10 33
2000   1 11 33
2000   1 12 43
2000   1 13 43
2000   1 14 43
2000   1 15 30
2000   1 16 30
2000   1 17 30
2000   1 18 43
2000   1 19 43
2000   1 20 43
2000   1 21 37
2000   1 22 37
2000   1 23 37
2000   2  0 30
2000   2  1 30
2000   2  2 30
2000   2  3 33
2000   2  4 33
2000   2  5 33
2000   2  6 33
2000   2  7 33
2000   2  8 33
2000   2  9 33
2000   2 10 33
2000   2 11 33
2000   2 12 27
2000   2 13 27
2000   2 14 27
2000   2 15 33
2000   2 16 33
2000   2 17 33
2000   2 18 33
2000   2 19 33
2000   2 20 33
2000   2 21 30
2000   2 22 30
2000   2 23 30
2000   3  0 33
2000   3  1 33
2000   3  2 33
2000   3  3 30
2000   3  4 30
2000   3  5 30
2000   3  6 27
2000   3  7 27
2000   3  8 27
2000   3  9 27
2000   3 10 27
2000   3 11 27
2000   3 12 23
2000   3 13 23
2000   3 14 23
2000   3 15 23
2000   3 16 23
2000   3 17 23
2000   3 18 30
2000   3 19 30
2000   3 20 30
2000   3 21 17
2000   3 22 17
2000   3 23 17
2000   4  0 23
2000   4  1 23
2000   4  2 23
2000   4  3 23
2000   4  4 23
2000   4  5 23
2000   4  6 23
2000   4  7 23
2000   4  8 23
2000   4  9 30
2000   4 10 30
2000   4 11 30
2000   4 12 33
2000   4 13 33
2000   4 14 33
2000   4 15 27
2000   4 16 27
2000   4 17 27
2000   4 18 23
2000   4 19 23
2000   4 20 23
2000   4 21 37
2000   4 22 37
2000   4 23 37
2000   5  0 40
2000   5  1 40
2000   5  2 40
2000   5  3 33
2000   5  4 33
2000   5  5 33
2000   5  6 33
2000   5  7 33
2000   5  8 33
2000   5  9 33
2000   5 10 33
2000   5 11 33
2000   5 12 23
2000   5 13 23
2000   5 14 23
2000   5 15 30
2000   5 16 30
2000   5 17 30
2000   5 18 37
2000   5 19 37
2000   5 20 37
2000   5 21 40
2000   5 22 40
2000   5 23 40
2000   6  0 27
2000   6  1 27
2000   6  2 27
2000   6  3 33
2000   6  4 33
2000   6  5 33
2000   6  6 20
2000   6  7 20
2000   6  8 20
2000   6  9 33
2000   6 10 33
2000   6 11 33
2000   6 12 43
2000   6 13 43
2000   6 14 43
2000   6 15 43
2000   6 16 43
2000   6 17 43
2000   6 18 30
2000   6 19 30
2000   6 20 30
